epoch,train_loss,train_acc,val_loss,val_acc
1,1.481982863742308,0.322435174914331,1.5991763318825631,0.29411764463148504
2,1.1319437553810026,0.5377677568185155,1.222346139169926,0.5384615376524257
3,0.9324993482437047,0.6674182634074094,1.2550038298870103,0.5927601801863623
4,0.7336455818765462,0.7192784665402323,1.878056435866863,0.4298642509663267
5,0.5326386250664712,0.810597519527831,0.8963360263211695,0.6696832546821008
6,0.38636124144143424,0.8647125148988227,0.8051251984829277,0.7104072384704831
7,0.35117321514357575,0.8759864713186073,0.9351235376628815,0.7194570165414077
8,0.30043202889778703,0.9041713641488163,0.5444410773019446,0.8009049803423126
9,0.22545826767719315,0.9244644873037413,0.7772985791189099,0.7737556542206674
10,0.2614290743159065,0.9165727172924674,0.7461074227930734,0.8009049749482271
11,0.19254689168903175,0.9379932364320809,0.6608575809730124,0.8054298618260551
12,0.12815702989647057,0.9627959416442149,0.6881420039887881,0.8009049779149742
13,0.09688671489310238,0.9695603156708005,0.5333033000451947,0.8099547516706302
14,0.0726203042236834,0.9729425028184893,0.60018072860543,0.837104075364937
15,0.09655818461599049,0.9706877116554888,0.9291715292909026,0.7466063310657691
