epoch,train_loss,train_acc,val_loss,val_acc
1,1.4836910209096674,0.3562570465592145,2.0581938481438753,0.4162895931647374
2,1.1888800516741387,0.5174746336635904,1.259277587832369,0.4705882355638219
3,0.922780317813998,0.6527621194031489,1.4731104287626517,0.5882352962752813
4,0.8477673472116335,0.6820744087220314,1.6347226936083574,0.47511312513869275
5,0.6420404255860553,0.782412626630424,0.8570346195773302,0.678733032483321
6,0.3653551928757815,0.8804960546525785,0.5919126617423011,0.8190045235383564
7,0.30982704828530044,0.8895152206485408,1.7363819520397963,0.5475113119474903
8,0.3222076637836293,0.9030439689705041,0.7972322052420534,0.7737556523327375
9,0.28897317346886825,0.8974069906598148,0.9342311260657074,0.7737556542206674
10,0.235841625854121,0.9278466741826381,0.7546043769536515,0.8144796409757968
11,0.11576063391724192,0.9639233376289033,0.48451788588616646,0.8552036174821638
12,0.07679018098545988,0.9729425030872814,0.6291369259930574,0.8325791830930235
13,0.08210093356257361,0.9763246899661782,0.5570994784794242,0.8597285097540773
14,0.06403117411136795,0.9763246899661782,0.8436532697189447,0.8144796355817113
15,0.07346673856626906,0.9729425028184893,0.8081296154917366,0.8054298618260551
