epoch,train_loss,train_acc,val_loss,val_acc
1,1.612211105654178,0.19842164593054717,1.608385177759024,0.19004524725055263
2,1.6041519874381374,0.2130777904723919,1.5964366488866677,0.30769230708547307
3,1.606582935256915,0.21758737313438295,1.5948105176649483,0.22624434429595913
4,1.5992724771832936,0.23224351767622767,1.5945630645320426,0.31674208143110727
5,1.5938733097128024,0.2525366405287617,1.5941388596236976,0.28054298521167015
6,1.596533258308015,0.2423900788505021,1.5902502795689786,0.28506787323574134
7,1.5904338711950394,0.2728297633308972,1.5833569047677571,0.3031674207976231
8,1.5915788828721849,0.2480270574635825,1.5766756297236655,0.30769230708547307
9,1.5789044873690257,0.2886133033534451,1.5768170205716094,0.26244343783521007
10,1.5771869712644662,0.27057497225189425,1.5747666882174047,0.33484162892556296
11,1.5676437429537768,0.29875986488050915,1.567413751895611,0.35746606321356417
12,1.5636978575449516,0.28410372048986,1.5575862567349257,0.35746606415752913
13,1.562143283739703,0.2829763248579612,1.5423854627220879,0.36199094860801867
14,1.5549385215679714,0.3258173619780223,1.5381080392259279,0.3484162899973166
15,1.5383534744600298,0.34272829756527096,1.5184707269409663,0.3800904976701305
