epoch,train_loss,train_acc,val_loss,val_acc
1,1.491800130421575,0.33370913183810075,1.553507147331583,0.42533936705524567
2,1.178165801751439,0.5197294256329671,1.2001444923931657,0.46606334760717677
3,0.9424233072371198,0.6448703493582759,1.0515713060603422,0.5837104075095233
4,0.7868054417773594,0.7113866965289584,2.0252057448771206,0.39366515864074497
5,0.6186649810098607,0.7846674185998007,1.219087640084832,0.5927601801863623
6,0.44775686911155027,0.8387824134332083,0.8965398536413504,0.7149321296635796
7,0.4535213004978292,0.8387824134332083,0.8766027216997622,0.6606334833537831
8,0.3089032708724967,0.898534386375711,0.7393465398123901,0.73755656027686
9,0.24009833122858737,0.9233370921254292,0.6137050170434546,0.7873303148541515
10,0.24491114324754631,0.926719278735534,1.6037823027379103,0.6153846153846154
11,0.18816802807765454,0.9368658404473925,0.457775130800532,0.8461538418385778
12,0.14606473028760616,0.9594137542277339,0.49918778625009286,0.8506787311437443
13,0.10834248234615519,0.9751972945190739,0.575033988213647,0.8416289568486797
14,0.12205810717221983,0.9594137547653181,0.5992870692888536,0.828054301609281
15,0.12411244489092972,0.9605411502124223,0.4912266095434379,0.8733031703875616
