epoch,train_loss,train_acc,val_loss,val_acc
1,1.3913237892654058,0.3934611047470045,1.5126253976001998,0.42081447963800905
2,1.0525882331467535,0.5749718154430927,1.000087273876052,0.6606334833537831
3,0.799200409093059,0.69222097043389,0.8111982145999891,0.7285067878697253
4,0.7141324191647157,0.7350620068315723,1.9491861918393303,0.47058823313648346
5,0.5638288442956824,0.8060879379410083,0.7177045493643748,0.7239818966766288
6,0.33505503834973865,0.8917700118115414,0.7844164747053681,0.7692307721975162
7,0.29234755857350997,0.9019165729858157,2.2977351397950185,0.49773755683079024
8,0.1923415637506842,0.9346110492843921,0.7006606188564818,0.8325791860597705
9,0.15264285772434083,0.95152198421646,0.7184095751173896,0.8054298618260551
10,0.10842278431744022,0.9616685459283186,1.172199207775261,0.7330316742081447
11,0.09387263596024292,0.9616685456595265,0.701226081244007,0.8371040729375986
12,0.07689208015085544,0.9785794813979707,0.703596249762164,0.8416289598154266
13,0.07334903854532367,0.9785794813979707,0.625994396223202,0.8416289573880882
14,0.06677163661937434,0.9830890647991399,0.7353256247701688,0.8325791836324321
15,0.08976947911831276,0.9751972945190739,0.92634149967815,0.8144796396272754
