epoch,train_loss,train_acc,val_loss,val_acc
1,1.617685139649616,0.20856820752480926,1.6108597317432387,0.19909502262443438
2,1.6062856719082614,0.21645997741848666,1.6307621557788072,0.20361990950226244
3,1.6144923202886656,0.2243517475053584,1.60467335487383,0.2579185520361991
4,1.600377854123594,0.2412626832438026,1.5629418834841629,0.3076923098499419
5,1.5670888535468392,0.25479143169176216,1.7094795628370743,0.2895927601809955
6,1.4815576110106579,0.3258173622972129,1.487233990997211,0.3393665134097656
7,1.355321082617277,0.39007891783450876,1.3809007988795976,0.4343891378441547
8,1.3003110669242488,0.4408117257890196,1.1815864958914157,0.5203619914896348
9,1.1781209531201315,0.48703494886400467,1.1906752106291136,0.5294117609300225
10,1.1199021543698489,0.5298759863704544,1.1623816830000726,0.5701357447184049
11,1.0117799919917592,0.5828635859919509,1.1447129573217885,0.6063348421683679
12,0.9452454779032521,0.653889514816654,0.9126510962641616,0.6380090513919813
13,0.9208265299055192,0.6392333709803886,0.9303779444273781,0.6470588192141433
14,0.8262755036219669,0.6809470121997588,0.8771503144259906,0.7058823510532466
15,0.841129478835737,0.6786922205663722,1.1383361891923447,0.6153846132269812
